x,y,type
39.96302158,42.94491485,A
75.85522947,62.51704429,A
65.97085702,72.744856,A
21.77804048,6.616625307,A
67.75979625,72.42120153,A
78.61719534,52.57525731,A
68.50770819,15.45691897,A
74.88502116,25.41660632,A
66.45490366,19.83662865,A
77.3178021,48.39834644,A
58.91246032,75.66775622,A
57.61744782,8.194800603,A
76.0882258,59.67993002,A
57.46605055,1.504418175,A
79.42838349,45.21079429,A
76.35652215,10.41824113,A
64.40507526,78.58417608,A
40.63504181,73.39475037,A
71.96416711,41.87428267,A
80.47089432,49.50214835,A
31.00525826,40.68250301,A
31.8384977,71.81216539,A
32.14646234,43.48170944,A
71.96508265,17.71023594,A
75.77193879,69.82923003,A
65.4759522,14.27458564,A
49.25721834,81.88140323,A
46.59276797,84.97238278,A
72.04638946,12.91800673,A
68.23076899,80.87250166,A
30.99622058,71.69440494,A
43.94986459,75.95871567,A
42.78176125,12.99118843,A
78.07942144,93.13331677,A
28.23678194,56.13959645,A
62.39118056,5.623070761,A
32.33111023,61.41110125,A
53.42146288,26.18688039,A
63.92020226,30.83219392,A
70.28950572,82.53364859,A
34.11883024,45.73455132,A
67.6707164,37.11094797,A
53.25912941,97.4757711,A
63.51498087,25.10007858,A
67.98053881,80.95716522,A
67.3724659,29.7204002,A
15.56074952,80.06564029,A
71.79076769,71.06546666,A
70.24254644,24.10959755,A
64.93743554,81.55420499,A
62.21352455,21.475839,A
67.26940048,18.70896837,A
40.57019704,79.37296348,A
74.02169391,76.12827451,A
64.56826419,83.6396339,A
74.24770821,20.31418781,A
46.08227578,23.11045782,A
52.49440678,16.0511142,A
42.96804691,17.9454584,A
74.18903668,68.13358322,A
45.59648495,9.763348849,A
33.02407002,24.46783039,A
50.85063364,13.98760163,A
65.62365744,15.58280335,A
76.16691981,75.9361704,A
71.76831892,20.01106184,A
74.74118133,21.1016372,A
39.70632617,84.2752871,A
41.67759577,30.20126408,A
65.95359519,31.14740608,A
62.93445937,31.9163907,A
30.39182766,42.75961287,A
36.44900385,50.54626907,A
40.467576,60.02751209,A
81.7246168,6.037544846,A
48.8231975,76.63533058,A
35.62056177,57.28601558,A
50.58396311,71.8066161,A
61.85646511,71.79274316,A
39.32375603,59.30081967,A
42.18567914,66.03489782,A
30.84691899,37.3416401,A
