color,director_name,duration,director_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,budget,title_year,imdb_score,movie_facebook_likes
Color,James Cameron,178,0,760505847,Action,Avatar ,886204,4834,237000000,2009,7.9,33000
Color,Gore Verbinski,169,563,309404152,Action,Pirates of the Caribbean: At World's End ,471220,48350,300000000,2007,7.1,0
Color,Sam Mendes,148,0,200074175,Action,Spectre ,275868,11700,245000000,2015,6.8,85000
Color,Christopher Nolan,164,22000,448130642,Action,The Dark Knight Rises ,1144337,106759,250000000,2012,8.5,164000
Color,Andrew Stanton,132,475,73058679,Action,John Carter ,212204,1873,263700000,2012,6.6,24000
Color,Sam Raimi,156,0,336530303,Action,Spider-Man 3 ,383056,46055,258000000,2007,6.2,0
Color,Nathan Greno,100,15,200807262,Adventure,Tangled ,294810,2036,260000000,2010,7.8,29000
Color,Joss Whedon,141,0,458991599,Action,Avengers: Age of Ultron ,462669,92000,250000000,2015,7.5,118000
Color,David Yates,153,282,301956980,Adventure,Harry Potter and the Half-Blood Prince ,321795,58753,250000000,2009,7.5,10000
Color,Zack Snyder,183,0,330249062,Action,Batman v Superman: Dawn of Justice ,371639,24450,250000000,2016,6.9,197000
Color,Bryan Singer,169,0,200069408,Action,Superman Returns ,240396,29991,209000000,2006,6.1,0
Color,Marc Forster,106,395,168368427,Action,Quantum of Solace ,330784,2023,200000000,2008,6.7,0
Color,Gore Verbinski,151,563,423032628,Action,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,225000000,2006,7.3,5000
Color,Gore Verbinski,150,563,89289910,Action,The Lone Ranger ,181792,45757,215000000,2013,6.5,48000
Color,Zack Snyder,143,0,291021565,Action,Man of Steel ,548573,20495,225000000,2013,7.2,118000
Color,Andrew Adamson,150,80,141614023,Action,The Chronicles of Narnia: Prince Caspian ,149922,22697,225000000,2008,6.6,0
Color,Joss Whedon,173,0,623279547,Action,The Avengers ,995415,87697,220000000,2012,8.1,123000
Color,Rob Marshall,136,252,241063875,Action,Pirates of the Caribbean: On Stranger Tides ,370704,54083,250000000,2011,6.7,58000
Color,Barry Sonnenfeld,106,188,179020854,Action,Men in Black 3 ,268154,12572,225000000,2012,6.8,40000
Color,Peter Jackson,164,0,255108370,Adventure,The Hobbit: The Battle of the Five Armies ,354228,9152,250000000,2014,7.5,65000
Color,Marc Webb,153,464,262030663,Action,The Amazing Spider-Man ,451803,28489,230000000,2012,7,56000
Color,Ridley Scott,156,0,105219735,Action,Robin Hood ,211765,3244,200000000,2010,6.7,17000
Color,Peter Jackson,186,0,258355354,Adventure,The Hobbit: The Desolation of Smaug ,483540,9152,225000000,2013,7.9,83000
Color,Chris Weitz,113,129,70083519,Adventure,The Golden Compass ,149019,24106,180000000,2007,6.1,0
Color,Peter Jackson,201,0,218051260,Action,King Kong ,316018,7123,207000000,2005,7.2,0
Color,James Cameron,194,0,658672302,Drama,Titanic ,793059,45223,200000000,1997,7.7,26000
Color,Anthony Russo,147,94,407197282,Action,Captain America: Civil War ,272670,64798,250000000,2016,8.2,72000
Color,Peter Berg,131,532,65173160,Action,Battleship ,202382,26679,209000000,2012,5.9,44000
Color,Colin Trevorrow,124,365,652177271,Action,Jurassic World ,418214,8458,150000000,2015,7,150000
Color,Sam Mendes,143,0,304360277,Action,Skyfall ,522030,2039,200000000,2012,7.8,80000
Color,Sam Raimi,135,0,373377893,Action,Spider-Man 2 ,411164,43388,200000000,2004,7.3,0
Color,Shane Black,195,1000,408992272,Action,Iron Man 3 ,557489,30426,200000000,2013,7.2,95000
Color,Tim Burton,108,13000,334185206,Adventure,Alice in Wonderland ,306320,79957,200000000,2010,6.5,24000
Color,Brett Ratner,104,420,234360014,Action,X-Men: The Last Stand ,383427,21714,210000000,2006,6.8,0
Color,Dan Scanlon,104,37,268488329,Adventure,Monsters University ,235025,14863,200000000,2013,7.3,44000
Color,Michael Bay,150,0,402076689,Action,Transformers: Revenge of the Fallen ,323207,3218,200000000,2009,6,0
Color,Michael Bay,165,0,245428137,Action,Transformers: Age of Extinction ,242420,3988,210000000,2014,5.7,56000
Color,Sam Raimi,130,0,234903076,Adventure,Oz the Great and Powerful ,175409,73441,215000000,2013,6.4,60000
Color,Marc Webb,142,464,202853933,Action,The Amazing Spider-Man 2 ,321227,28631,200000000,2014,6.7,41000
Color,Joseph Kosinski,125,364,172051787,Action,TRON: Legacy ,264183,25550,170000000,2010,6.8,30000
Color,John Lasseter,106,487,191450875,Adventure,Cars 2 ,101178,4482,200000000,2011,6.3,10000
Color,Martin Campbell,123,258,116593191,Action,Green Lantern ,223393,17657,200000000,2011,5.6,24000
Color,Lee Unkrich,103,125,414984497,Adventure,Toy Story 3 ,544884,19085,200000000,2010,8.3,30000
Color,McG,118,368,125320003,Action,Terminator Salvation ,286095,27468,200000000,2009,6.6,0
Color,James Wan,140,0,350034110,Action,Furious 7 ,278232,79150,190000000,2015,7.2,94000
Color,Marc Forster,123,395,202351611,Action,World War Z ,465019,32392,190000000,2013,7,129000
Color,Bryan Singer,149,0,233914986,Action,X-Men: Days of Future Past ,514125,91434,200000000,2014,8,82000
Color,J.J. Abrams,132,14000,228756232,Action,Star Trek Into Darkness ,395573,21411,190000000,2013,7.8,92000
Color,Bryan Singer,114,0,65171860,Adventure,Jack the Giant Slayer ,106416,1766,195000000,2013,6.3,22000
Color,Baz Luhrmann,143,1000,144812796,Drama,The Great Gatsby ,362912,29770,105000000,2013,7.3,115000
Color,Mike Newell,116,179,90755643,Action,Prince of Persia: The Sands of Time ,222403,16149,200000000,2010,6.6,23000
