league,year,position,team,matches,wins,draws,loses,scored,conceded,pts
La_liga,2014,1,Barcelona,38,30,4,4,110,21,94
La_liga,2014,2,Real Madrid,38,30,2,6,118,38,92
La_liga,2014,3,Atletico Madrid,38,23,9,6,67,29,78
La_liga,2014,4,Valencia,38,22,11,5,70,32,77
La_liga,2014,5,Sevilla,38,23,7,8,71,45,76
La_liga,2014,6,Villarreal,38,16,12,10,48,37,60
La_liga,2014,7,Athletic Club,38,15,10,13,42,41,55
La_liga,2014,8,Celta Vigo,38,13,12,13,47,44,51
La_liga,2014,9,Malaga,38,14,8,16,42,48,50
La_liga,2014,10,Rayo Vallecano,38,15,4,19,46,68,49
La_liga,2014,11,Espanyol,38,13,10,15,47,51,49
La_liga,2014,12,Real Sociedad,38,11,13,14,44,51,46
La_liga,2014,13,Elche,38,11,8,19,35,62,41
La_liga,2014,14,Getafe,38,10,7,21,33,64,37
La_liga,2014,15,Levante,38,9,10,19,34,67,37
La_liga,2014,16,Deportivo La Coruna,38,7,14,17,35,60,35
La_liga,2014,17,Granada,38,7,14,17,29,64,35
La_liga,2014,18,Eibar,38,9,8,21,34,55,35
La_liga,2014,19,Almeria,38,8,8,22,35,64,32
La_liga,2014,20,Cordoba,38,3,11,24,22,68,20
La_liga,2015,1,Barcelona,38,29,4,5,112,29,91
La_liga,2015,2,Real Madrid,38,28,6,4,110,34,90
La_liga,2015,3,Atletico Madrid,38,28,4,6,63,18,88
La_liga,2015,4,Villarreal,38,18,10,10,44,35,64
La_liga,2015,5,Athletic Club,38,18,8,12,58,45,62
La_liga,2015,6,Celta Vigo,38,17,9,12,51,59,60
La_liga,2015,7,Sevilla,38,14,10,14,51,50,52
La_liga,2015,8,Malaga,38,12,12,14,38,35,48
La_liga,2015,9,Real Sociedad,38,13,9,16,45,48,48
La_liga,2015,10,Real Betis,38,11,12,15,34,52,45
La_liga,2015,11,Valencia,38,11,11,16,46,48,44
La_liga,2015,12,Las Palmas,38,12,8,18,45,53,44
La_liga,2015,13,Espanyol,38,12,7,19,40,74,43
La_liga,2015,14,Eibar,38,11,10,17,49,61,43
La_liga,2015,15,Deportivo La Coruna,38,8,18,12,45,61,42
La_liga,2015,16,Sporting Gijon,38,10,9,19,40,62,39
La_liga,2015,17,Granada,38,10,9,19,46,69,39
La_liga,2015,18,Rayo Vallecano,38,9,11,18,52,73,38
La_liga,2015,19,Getafe,38,9,9,20,37,67,36
La_liga,2015,20,Levante,38,8,8,22,37,70,32
La_liga,2016,1,Real Madrid,38,29,6,3,106,41,93
La_liga,2016,2,Barcelona,38,28,6,4,116,37,90
La_liga,2016,3,Atletico Madrid,38,23,9,6,70,27,78
La_liga,2016,4,Sevilla,38,21,9,8,69,49,72
La_liga,2016,5,Villarreal,38,19,10,9,56,33,67
La_liga,2016,6,Real Sociedad,38,19,7,12,59,53,64
La_liga,2016,7,Athletic Club,38,19,6,13,53,43,63
La_liga,2016,8,Espanyol,38,15,11,12,49,50,56
La_liga,2016,9,Alaves,38,14,13,11,41,43,55
La_liga,2016,10,Eibar,38,15,9,14,56,51,54
