date,type,operator,fatalities,country,cat,year
,Antonov An-12B,Indonesian AF,,,U1,
,Antonov An-12B,Indonesian AF,,,U1,
,Antonov An-12B,Indonesian AF,,,U1,
,Antonov An-12BK,Soviet AF,,Russia,A1,
,Antonov An-12BP,Soviet AF,0.0,Eritrea,A1,
,Antonov An-12BP,Soviet AF,,Russia,U1,
,Antonov An-2,"GUSMP, Directorate of Polar Aviation",,Russia,A1,
,Antonov An-2,Aeroflot,0.0,Russia,A2,
,Antonov An-24B,Russian AF,0.0,Russia,A1,
,Antonov An-26,Soviet AF,0.0,Russia,O1,
,Antonov An-26,Russian AF,0.0,Russia,A1,
,Antonov An-26,Aeroflot,0.0,Russia,A1,
,Antonov An-26,Sin Sad Airlines,,Libya,A1,
,Antonov An-2R,PZL-Mielec,0.0,Poland,O1,
,Antonov An-2R,Privredna Avijacija Osijek,,,U1,
,Antonov An-2T,"Aeroflot, Azerbaijan",0.0,,O1,
,Antonov An-2T,"Aeroflot, Azerbaijan",0.0,?,O1,
,Antonov An-2T,"Aeroflot, Azerbaijan",0.0,?,O1,
,Antonov An-2T,"Aeroflot, Azerbaijan",0.0,?,O1,
,Antonov An-2T,"Aeroflot, Azerbaijan",0.0,?,O1,
,Antonov An-32,Indian AF,0.0,India,A1,
,Antonov An-32A,Antonov Design Bureau,,,A1,
,Avia 14,Balkan Bulgarian,0.0,Bulgaria,O1,
,BN-2A Islander,Unknown,,,U1,
,BN-2A Islander,Somalian Aeronautical Corps,,,U1,
,BN-2A Islander,MD Air Services,0.0,Bahamas,A1,
,BN-2A Islander,Enterprise General M.Forrest,,,U1,
,BN-2A-20 Islander,Bush Pilots,,Zimbabwe,U1,
,BN-2A-21 Islander,Unknown,,,U1,
,BN-2A-21 Islander,St. Lucia Airways,,,U1,
,BN-2A-21 Islander,Mauritanian AF,,Mauritania,U1,
,BN-2A-21 Islander,Mauritanian AF,,,U1,
,BN-2A-26 Islander,Jenair,,Cyprus,U1,
,BN-2A-8 Islander,Bordeaux Aviation,,,U1,
,BN-2A-8 Islander,Aero Servicios Caicara,,,U1,
,BN-2A-8 Islander,Unknown,0.0,,U1,
,BN-2A-8 Islander,Aviacsa,,Mexico,U1,
,BN-2A-8 Islander,Harbor Airlines,,,U1,
,BN-2A-8 Islander,Aviazur,,New Caledonia,U1,
,BN-2B-21 Islander,Surinam Air Force,,,U1,
,Douglas C-47A (DC-3),Unknown,0.0,Bahamas,A1,
,Douglas C-47D (DC-3),USAAF,,,U1,
,Fairchild C-82A Packet,SAHSA,,Honduras,A1,
,Fairchild SA227-DC Metro 23 (C-26B),Peruvian AF,,Peru,A1,
,Grumman G-159 Gulfstream I,JetPet,0.0,Kenya,A1,
,Ilyushin Il-12,Soviet AF,,Russia,A1,
,Ilyushin Il-14T,"GUSMP, Directorate of Polar Aviation",0.0,Antarctica,A1,
,Ilyushin Il-76,Ilyushin,,Latvia,A1,
,Ilyushin Il-76M,Soviet AF,,,U1,
,Ilyushin Il-76M,Soviet AF,0.0,Russia,A1,
,Ilyushin Il-76M,Soviet AF,0.0,Russia,A1,
,Ilyushin Il-76TD,Yemen AF,0.0,Yemen,O1,
,Ilyushin Il-78,Ukraine Air Force,0.0,Ukraine,O1,
,Let L-410T,Libyan Arab Rep. Air Force,,Libya,U1,
,Let L-410UVP,Atlantic Airlines,,Honduras,A1,
,Lisunov Li-2,Unknown,,Russia,A1,
,Lisunov Li-2,"Aeroflot, Yakutsk",,Russia,A1,
,Lisunov Li-2F,Polish AF,0.0,Poland,O1,
