experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size
MI,CT,ML Engineer,30000,fully remote,S
MI,CT,ML Engineer,25500,fully remote,S
SE,FT,Applied Scientist,222200,hybrid,L
SE,FT,Applied Scientist,136000,hybrid,L
SE,FT,Data Scientist,147100,hybrid,M
SE,FT,Data Scientist,90700,hybrid,M
SE,FT,Data Analyst,130000,fully remote,M
SE,FT,Data Analyst,100000,fully remote,M
EN,FT,Applied Scientist,213660,hybrid,L
EN,FT,Applied Scientist,130760,hybrid,L
SE,FT,Data Modeler,147100,hybrid,M
SE,FT,Data Modeler,90700,hybrid,M
SE,FT,Data Scientist,170000,hybrid,M
SE,FT,Data Scientist,150000,hybrid,M
MI,FT,Data Analyst,150000,fully remote,M
MI,FT,Data Analyst,110000,fully remote,M
SE,FT,Business Intelligence Engineer,225000,hybrid,M
SE,FT,Business Intelligence Engineer,156400,hybrid,M
SE,FT,Machine Learning Engineer,200000,hybrid,M
SE,FT,Machine Learning Engineer,130000,hybrid,M
SE,FT,Data Engineer,253200,hybrid,M
SE,FT,Data Engineer,90700,hybrid,M
SE,FT,Computer Vision Engineer,342810,hybrid,M
SE,FT,Computer Vision Engineer,184590,hybrid,M
MI,FT,Data Engineer,162500,hybrid,M
MI,FT,Data Engineer,130000,hybrid,M
MI,FT,Data Analyst,105380,hybrid,M
MI,FT,Data Analyst,64500,hybrid,M
EN,FT,Applied Scientist,204620,hybrid,L
EN,FT,Applied Scientist,110680,hybrid,L
SE,FT,Data Engineer,270703,hybrid,M
SE,FT,Data Engineer,221484,hybrid,M
SE,FT,Data Scientist,212750,fully remote,M
SE,FT,Data Scientist,185000,fully remote,M
SE,FT,Data Scientist,262000,fully remote,M
SE,FT,Data Scientist,245000,fully remote,M
SE,FT,Data Scientist,275300,fully remote,M
SE,FT,Data Scientist,183500,fully remote,M
SE,FT,Data Scientist,218500,fully remote,M
SE,FT,Data Scientist,199098,fully remote,M
SE,FT,Data Engineer,203300,fully remote,M
SE,FT,Data Engineer,123600,fully remote,M
SE,FT,Research Engineer,189110,hybrid,M
SE,FT,Research Engineer,139000,hybrid,M
EX,FT,Data Scientist,258750,hybrid,M
EX,FT,Data Scientist,185000,hybrid,M
SE,FT,Data Engineer,231500,fully remote,M
SE,FT,Data Engineer,166000,fully remote,M
SE,FT,Data Scientist,172500,fully remote,M
SE,FT,Data Scientist,110500,fully remote,M
SE,FT,Data Engineer,238000,hybrid,M
SE,FT,Data Engineer,176000,hybrid,M
SE,FT,Data Engineer,237000,fully remote,M
SE,FT,Data Engineer,201450,fully remote,M
SE,FT,Applied Scientist,309400,hybrid,L
SE,FT,Applied Scientist,159100,hybrid,L
SE,FT,Data Engineer,115000,hybrid,M
SE,FT,Data Engineer,81500,hybrid,M
SE,FT,Data Scientist,237000,fully remote,M
SE,FT,Data Scientist,201450,fully remote,M
SE,FT,Computer Vision Engineer,280000,hybrid,M
SE,FT,Computer Vision Engineer,210000,hybrid,M
SE,FT,Data Architect,280100,fully remote,M
SE,FT,Data Architect,168100,fully remote,M
SE,FT,Data Engineer,193500,fully remote,M
SE,FT,Data Engineer,139000,fully remote,M
SE,FT,Business Intelligence Engineer,185900,hybrid,M
SE,FT,Business Intelligence Engineer,129300,hybrid,M
SE,FT,Data Engineer,225000,fully remote,M
SE,FT,Data Engineer,175000,fully remote,M
SE,FT,Data Engineer,185000,hybrid,M
SE,FT,Data Engineer,140000,hybrid,M
SE,FT,Data Scientist,105000,hybrid,M
SE,FT,Data Scientist,70000,hybrid,M
EN,FT,Machine Learning Engineer,163196,hybrid,M
EN,FT,Machine Learning Engineer,145885,hybrid,M
SE,FT,Data Engineer,217000,fully remote,M
SE,FT,Data Engineer,185000,fully remote,M
SE,FT,Data Analyst,202800,hybrid,L
SE,FT,Data Analyst,104300,hybrid,L
SE,FT,Data Analyst,145000,hybrid,M
SE,FT,Data Analyst,65000,hybrid,M
SE,FT,Data Engineer,165000,hybrid,M
SE,FT,Data Engineer,132300,hybrid,M
SE,FT,Data Engineer,179170,hybrid,M
SE,FT,Data Engineer,94300,hybrid,M
SE,FT,Analytics Engineer,152500,hybrid,M
SE,FT,Analytics Engineer,116450,hybrid,M
SE,FT,Data Engineer,247300,hybrid,M
SE,FT,Data Engineer,133800,hybrid,M
SE,FT,Research Engineer,203000,hybrid,M
SE,FT,Research Engineer,133000,hybrid,M
EN,FT,Research Scientist,220000,hybrid,L
SE,FT,Data Scientist,150000,hybrid,M
SE,FT,Data Scientist,120000,hybrid,M
SE,FT,Analytics Engineer,289800,hybrid,M
SE,FT,Analytics Engineer,214000,hybrid,M
SE,FT,Analytics Engineer,179820,hybrid,M
SE,FT,Analytics Engineer,143860,hybrid,M
SE,FT,Machine Learning Engineer,283200,fully remote,M
SE,FT,Machine Learning Engineer,188800,fully remote,M
SE,FT,Analytics Engineer,289800,hybrid,M
SE,FT,Analytics Engineer,214200,hybrid,M
SE,FT,Data Engineer,185900,hybrid,M
SE,FT,Data Engineer,129300,hybrid,M
SE,FT,Data Engineer,252000,hybrid,M
SE,FT,Data Engineer,129000,hybrid,M
MI,FT,Data Analytics Manager,155000,hybrid,M
MI,FT,Data Analytics Manager,140000,hybrid,M
SE,FT,Data Engineer,161800,fully remote,M
SE,FT,Data Engineer,141600,fully remote,M
SE,FT,Machine Learning Engineer,342300,hybrid,L
SE,FT,Machine Learning Engineer,176100,hybrid,L
MI,FT,Data Engineer,100000,fully remote,M
MI,FT,Data Engineer,70000,fully remote,M
EN,FT,Data Engineer,85000,hybrid,M
EN,FT,Data Engineer,65000,hybrid,M
SE,FT,Data Scientist,138784,fully remote,M
SE,FT,Data Scientist,83270,fully remote,M
EN,FT,Data Analyst,75000,hybrid,M
EN,FT,Data Analyst,70000,hybrid,M
SE,FT,Data Analyst,204500,hybrid,M
SE,FT,Data Analyst,138900,hybrid,M
SE,FT,Machine Learning Engineer,318300,fully remote,M
SE,FT,Machine Learning Engineer,212200,fully remote,M
SE,FT,Data Engineer,95000,fully remote,M
SE,FT,Data Engineer,75000,fully remote,M
SE,FT,Data Scientist,195000,hybrid,M
SE,FT,Data Scientist,160000,hybrid,M
SE,FT,Analytics Engineer,230000,hybrid,M
SE,FT,Analytics Engineer,143200,hybrid,M
MI,FT,Data Engineer,100000,fully remote,M
MI,FT,Data Engineer,70000,fully remote,M
MI,FT,Business Data Analyst,105000,hybrid,L
SE,FT,Data Engineer,145000,hybrid,M
SE,FT,Data Engineer,115000,hybrid,M
SE,FT,Data Analyst,168400,hybrid,M
SE,FT,Data Analyst,105200,hybrid,M
SE,FT,Applied Scientist,309400,hybrid,L
SE,FT,Applied Scientist,159100,hybrid,L
SE,FT,Machine Learning Engineer,190000,hybrid,M
SE,FT,Machine Learning Engineer,150000,hybrid,M
MI,FT,Data Engineer,162500,hybrid,M
MI,FT,Data Engineer,130000,hybrid,M
SE,FT,Analytics Engineer,150000,fully remote,M
SE,FT,Analytics Engineer,120000,fully remote,M
SE,FT,Data Engineer,145000,hybrid,M
SE,FT,Data Engineer,120000,hybrid,M
SE,FT,Applied Scientist,222200,hybrid,L
SE,FT,Applied Scientist,136000,hybrid,L
SE,FT,Data Engineer,241000,hybrid,M
SE,FT,Data Engineer,155000,hybrid,M
SE,FT,Data Engineer,220000,fully remote,M
SE,FT,Data Engineer,190000,fully remote,M
EN,FT,Data Analyst,85000,fully remote,M
EN,FT,Data Analyst,75000,fully remote,M
SE,FT,Data Engineer,160000,hybrid,M
SE,FT,Data Engineer,140000,hybrid,M
MI,FT,Machine Learning Engineer,300000,hybrid,M
MI,FT,Machine Learning Engineer,250000,hybrid,M
SE,FT,Data Scientist,228000,hybrid,M
SE,FT,Data Scientist,186000,hybrid,M
SE,FT,Data Scientist,190000,hybrid,M
SE,FT,Data Scientist,170000,hybrid,M
MI,FT,Research Engineer,230000,hybrid,M
MI,FT,Research Engineer,200000,hybrid,M
SE,FT,Data Architect,180000,fully remote,M
SE,FT,Data Architect,115000,fully remote,M
SE,FT,Data Architect,200000,fully remote,M
SE,FT,Data Architect,115000,fully remote,M
EX,FT,Data Engineer,220000,hybrid,M
EX,FT,Data Engineer,205000,hybrid,M
MI,FT,Data Engineer,180000,hybrid,M
MI,FT,Data Engineer,130000,hybrid,M
SE,FT,Data Engineer,200000,fully remote,M
SE,FT,Data Engineer,150000,fully remote,M
SE,FT,Computer Vision Engineer,215000,hybrid,M
SE,FT,Computer Vision Engineer,170000,hybrid,M
SE,FT,Machine Learning Engineer,247500,hybrid,M
SE,FT,Machine Learning Engineer,172200,hybrid,M
SE,FT,Data Analyst,120000,fully remote,M
SE,FT,Data Analyst,75000,fully remote,M
SE,FT,Data Analyst,140000,hybrid,M
SE,FT,Data Analyst,120000,hybrid,M
SE,FT,Data Engineer,128000,hybrid,M
SE,FT,Data Engineer,81500,hybrid,M
SE,FT,Data Engineer,145000,hybrid,M
SE,FT,Data Engineer,115000,hybrid,M
SE,FT,Data Engineer,185000,hybrid,M
SE,FT,Data Engineer,140000,hybrid,M
EX,FT,Head of Data,329500,hybrid,M
EX,FT,Head of Data,269600,hybrid,M
SE,FT,Data Quality Analyst,100000,hybrid,M
SE,FT,Data Quality Analyst,80000,hybrid,M
SE,FT,Data Scientist,250000,hybrid,M
SE,FT,Data Scientist,162500,hybrid,M
MI,FT,AI Developer,200000,fully remote,M
SE,FT,Data Engineer,145000,hybrid,M
SE,FT,Data Engineer,100000,hybrid,M
EX,FT,Data Engineer,145000,hybrid,M
EX,FT,Data Engineer,115000,hybrid,M
SE,FT,Data Scientist,203500,hybrid,M
SE,FT,Data Scientist,152000,hybrid,M
SE,FT,Data Scientist,239000,hybrid,L
SE,FT,Data Scientist,122900,hybrid,L
SE,FT,Data Scientist,237000,hybrid,M
SE,FT,Data Scientist,145000,hybrid,M
SE,FT,Data Science Manager,191765,hybrid,M
SE,FT,Data Science Manager,134236,hybrid,M
SE,FT,Analytics Engineer,190000,fully remote,M
SE,FT,Analytics Engineer,112000,fully remote,M
EN,FT,Data Engineer,85000,hybrid,M
EN,FT,Data Engineer,65000,hybrid,M
SE,FT,Data Analyst,135000,hybrid,M
SE,FT,Data Analyst,105500,hybrid,M
SE,FT,Research Engineer,293000,hybrid,M
SE,FT,Research Engineer,185000,hybrid,M
SE,FT,Data Analyst,80000,hybrid,M
SE,FT,Data Analyst,70000,hybrid,M
SE,FT,Data Engineer,220000,fully remote,M
SE,FT,Data Engineer,160000,fully remote,M
SE,FT,Data Scientist,175000,fully remote,M
SE,FT,Data Scientist,145000,fully remote,M
SE,FT,Data Analyst,200000,hybrid,M
SE,FT,Data Analyst,148500,hybrid,M
SE,FT,Data Engineer,240500,hybrid,L
SE,FT,Data Engineer,123700,hybrid,L
SE,FT,Analytics Engineer,152900,fully remote,M
SE,FT,Analytics Engineer,117100,fully remote,M
SE,FT,Analytics Engineer,173000,fully remote,M
SE,FT,Analytics Engineer,113000,fully remote,M
SE,FT,Applied Scientist,260000,hybrid,L
SE,FT,Applied Scientist,136000,hybrid,L
EX,FT,Data Engineer,175000,hybrid,M
EX,FT,Data Engineer,110000,hybrid,M
SE,FT,Applied Scientist,260000,hybrid,L
SE,FT,Applied Scientist,136000,hybrid,L
SE,FT,Research Scientist,130000,fully remote,M
SE,FT,Research Scientist,110000,fully remote,M
SE,FT,Applied Scientist,205000,fully remote,M
SE,FT,Applied Scientist,184000,fully remote,M
SE,FT,Data Analyst,149500,fully remote,M
SE,FT,Data Analyst,127075,fully remote,M
SE,FT,Data Scientist,195000,hybrid,M
SE,FT,Data Scientist,160000,hybrid,M
SE,FT,Data Engineer,219535,fully remote,M
SE,FT,Data Engineer,146115,fully remote,M
SE,FT,Data Scientist,170000,hybrid,M
SE,FT,Data Scientist,135000,hybrid,M
SE,FT,Data Scientist,175000,fully remote,M
SE,FT,Data Scientist,145000,fully remote,M
SE,FT,Data Scientist,199000,hybrid,M
SE,FT,Data Scientist,162000,hybrid,M
SE,FT,Applied Scientist,222200,hybrid,L
SE,FT,Applied Scientist,136000,hybrid,L
EX,FT,Analytics Engineer,221000,fully remote,M
EX,FT,Analytics Engineer,153000,fully remote,M
SE,FT,Data Analyst,187000,hybrid,M
SE,FT,Data Analyst,128000,hybrid,M
SE,FT,Research Scientist,210000,hybrid,M
SE,FT,Research Scientist,136000,hybrid,M
SE,FT,Data Scientist,175000,fully remote,M
SE,FT,Data Scientist,100000,fully remote,M
SE,FT,Data Engineer,179000,hybrid,M
SE,FT,Data Engineer,109000,hybrid,M
SE,FT,Data Scientist,245000,hybrid,M
SE,FT,Data Scientist,180000,hybrid,M
SE,FT,Data Analyst,142000,fully remote,M
SE,FT,Data Analyst,75000,fully remote,M
SE,FT,Data Manager,198800,hybrid,M
SE,FT,Data Manager,105200,hybrid,M
SE,FT,Data Analyst,125000,fully remote,M
SE,FT,Data Analyst,112000,fully remote,M
SE,FT,Data Scientist,210000,hybrid,M
